embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
text-embedding-3-small	baseline - q_trap	10	1	0.3	0.5	0.7735	0.66675	0.10675	0.138009	0.94675	0.94475	-0.002	0.93	0.928	0.687	0.562	0.958	0.957	0.844	0.771
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.5	0.3	0.5	0.138	0.03125	0.10675	0.773551	0.9235	0.8115	-0.112	0.911	0.789	0.104	0.028	0.934	0.828	0.166	0.034
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1	0.2	0.3	0.55225	0.4455	0.10675	0.1933	0.94225	0.9415	-0.00075	0.932	0.933	0.491	0.394	0.951	0.951	0.596	0.488
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.75	0.3	0.5	0.542	0.436	0.106	0.195572	0.94275	0.93975	-0.003	0.928	0.926	0.458	0.346	0.955	0.951	0.621	0.531
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	1	0.3	0.5	0.5735	0.46775	0.10575	0.184394	0.9435	0.94125	-0.00225	0.929	0.93	0.507	0.405	0.954	0.95	0.621	0.516
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.3	0.5	0.60075	0.4965	0.10425	0.173533	0.9445	0.942	-0.0025	0.936	0.932	0.535	0.445	0.951	0.951	0.644	0.539
text-embedding-3-small	baseline - q_trap	10	0.5	0.2	0.3	0.7215	0.619	0.1025	0.142065	0.94575	0.94475	-0.001	0.931	0.928	0.622	0.5	0.958	0.957	0.815	0.74
text-embedding-3-small	baseline - q_trap	20	1.5	0.5	0.75	0.7325	0.63	0.1025	0.139932	0.94475	0.94325	-0.0015	0.93	0.929	0.651	0.55	0.954	0.952	0.79	0.681
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.25	0.3	0.5	0.1705	0.069	0.1015	0.595308	0.907	0.84075	-0.06625	0.863	0.752	0.053	0.027	0.941	0.922	0.346	0.142
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	1	0.5	0.75	0.49225	0.391	0.10125	0.205688	0.943	0.93875	-0.00425	0.931	0.929	0.414	0.314	0.953	0.949	0.579	0.488
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1	0.1	0.2	0.65325	0.55225	0.101	0.154612	0.9455	0.94225	-0.00325	0.936	0.932	0.592	0.491	0.953	0.951	0.699	0.596
text-embedding-3-small	q_target - q_trap	10	0.25	0.1	0.2	0.24775	0.15175	0.096	0.387487	0.936	0.924	-0.012	0.919	0.894	0.133	0.067	0.949	0.946	0.422	0.282
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.25	0.1	0.2	0.22675	0.135	0.09175	0.404631	0.93575	0.928	-0.00775	0.922	0.909	0.144	0.072	0.947	0.945	0.351	0.238
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.5	0.3	0.5	0.11325	0.026	0.08725	0.770419	0.9135	0.76925	-0.14425	0.896	0.74	0.088	0.02	0.922	0.791	0.139	0.03
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.5	0.1	0.2	0.1915	0.10525	0.08625	0.450392	0.93325	0.92575	-0.0075	0.923	0.914	0.157	0.087	0.943	0.936	0.219	0.124
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.25	0.1	0.2	0.16675	0.082	0.08475	0.508246	0.93375	0.91925	-0.0145	0.922	0.899	0.129	0.061	0.943	0.938	0.194	0.104
